ds	cus	yes	veh	drv	model     	tlim	Sec	Obj	Var
AA	75	15	5	3	DARP_Driver1	30	30.045	657960	1590
AA	75	15	5	3	DARP_Driver2	30	30.062	654174	1404
BB	5	1	1	1	DARP_Driver1	5	0.008	559686	32
BB	5	1	1	1	DARP_Driver2	5	0.007	559686	28
BB	5	1	1	1	DARP_Driver1	10	0.008	559686	32
BB	5	1	1	1	DARP_Driver2	10	0.008	559686	28
BB	5	1	1	1	DARP_Driver1	30	0.008	559686	32
BB	5	1	1	1	DARP_Driver2	30	0.008	559686	28
BB	10	2	1	1	DARP_Driver1	5	5	671436	60
BB	10	2	1	1	DARP_Driver2	5	5.005	595244	52
BB	10	2	1	1	DARP_Driver1	10	10.005	631919	60
BB	10	2	1	1	DARP_Driver2	10	10.006	595244	52
BB	10	2	1	1	DARP_Driver1	30	30.003	595244	60
BB	10	2	1	1	DARP_Driver2	30	30.008	595244	52
BB	15	3	2	1	DARP_Driver1	5	5.007	nfs	144
BB	15	3	2	1	DARP_Driver2	5	1.657	559686	126
BB	15	3	2	1	DARP_Driver1	10	10.013	nfs	144
BB	15	3	2	1	DARP_Driver2	10	1.652	559686	126
BB	15	3	2	1	DARP_Driver1	30	30.015	nfs	144
BB	15	3	2	1	DARP_Driver2	30	1.652	559686	126
BB	20	4	2	1	DARP_Driver1	5	1.016	559686	188
BB	20	4	2	1	DARP_Driver2	5	0.366	559686	158
BB	20	4	2	1	DARP_Driver1	10	1.061	559686	188
BB	20	4	2	1	DARP_Driver2	10	0.374	559686	158
BB	20	4	2	1	DARP_Driver1	30	1.047	559686	188
BB	20	4	2	1	DARP_Driver2	30	0.368	559686	158
BB	25	5	2	1	DARP_Driver1	5	1.378	559686	232
BB	25	5	2	1	DARP_Driver2	5	5.02	566815	196
BB	25	5	2	1	DARP_Driver1	10	1.404	559686	232
BB	25	5	2	1	DARP_Driver2	10	10.02	566815	196
BB	25	5	2	1	DARP_Driver1	30	1.42	559686	232
BB	25	5	2	1	DARP_Driver2	30	25.54	559686	196
BB	30	6	3	2	DARP_Driver1	5	1.529	584945	402
BB	30	6	3	2	DARP_Driver2	5	0.753	584945	346
BB	30	6	3	2	DARP_Driver1	10	1.493	584945	402
BB	30	6	3	2	DARP_Driver2	10	0.747	584945	346
BB	30	6	3	2	DARP_Driver1	30	1.471	584945	402
BB	30	6	3	2	DARP_Driver2	30	0.776	584945	346
BB	35	7	3	2	DARP_Driver1	5	1.149	584945	465
BB	35	7	3	2	DARP_Driver2	5	1.437	584945	397
BB	35	7	3	2	DARP_Driver1	10	1.16	584945	465
BB	35	7	3	2	DARP_Driver2	10	1.466	584945	397
BB	35	7	3	2	DARP_Driver1	30	1.175	584945	465
BB	35	7	3	2	DARP_Driver2	30	1.442	584945	397
BB	40	8	3	2	DARP_Driver1	5	2.2	584945	528
BB	40	8	3	2	DARP_Driver2	5	2.724	584945	460
BB	40	8	3	2	DARP_Driver1	10	2.227	584945	528
BB	40	8	3	2	DARP_Driver2	10	2.779	584945	460
BB	40	8	3	2	DARP_Driver1	30	2.244	584945	528
BB	40	8	3	2	DARP_Driver2	30	2.675	584945	460
BB	45	9	4	2	DARP_Driver1	5	5.02	642684	760
BB	45	9	4	2	DARP_Driver2	5	3.116	584945	675
BB	45	9	4	2	DARP_Driver1	10	6.994	584945	760
BB	45	9	4	2	DARP_Driver2	10	3.065	584945	675
BB	45	9	4	2	DARP_Driver1	30	6.918	584945	760
BB	45	9	4	2	DARP_Driver2	30	3.182	584945	675
BB	50	10	4	2	DARP_Driver1	5	5.017	696212	840
BB	50	10	4	2	DARP_Driver2	5	4.324	584945	745
BB	50	10	4	2	DARP_Driver1	10	5.541	584945	840
BB	50	10	4	2	DARP_Driver2	10	4.372	584945	745
BB	50	10	4	2	DARP_Driver1	30	5.585	584945	840
BB	50	10	4	2	DARP_Driver2	30	4.346	584945	745
BB	55	11	4	2	DARP_Driver1	5	5.054	1989310	920
BB	55	11	4	2	DARP_Driver2	5	5.034	625821	810
BB	55	11	4	2	DARP_Driver1	10	10.028	593955	920
BB	55	11	4	2	DARP_Driver2	10	6.381	584945	810
BB	55	11	4	2	DARP_Driver1	30	12.972	584945	920
BB	55	11	4	2	DARP_Driver2	30	6.15	584945	810
BB	60	12	6	2	DARP_Driver1	5	5.039	2577077	1452
BB	60	12	6	2	DARP_Driver2	5	5.033	2537084	1284
BB	60	12	6	2	DARP_Driver1	10	10.013	2537084	1452
BB	60	12	6	2	DARP_Driver2	10	10.045	2537084	1284
BB	60	12	6	2	DARP_Driver1	30	30.027	731160	1452
BB	60	12	6	2	DARP_Driver2	30	30.077	731160	1284
BB	65	13	6	2	DARP_Driver1	5	5.051	2525451	1566
BB	65	13	6	2	DARP_Driver2	5	5.056	1536820	1377
BB	65	13	6	2	DARP_Driver1	10	10.018	656948	1566
BB	65	13	6	2	DARP_Driver2	10	10.047	701581	1377
BB	65	13	6	2	DARP_Driver1	30	30.059	627425	1566
BB	65	13	6	2	DARP_Driver2	30	30.018	623806	1377
BB	70	14	6	2	DARP_Driver1	5	5.077	2835408	1680
BB	70	14	6	2	DARP_Driver2	5	5.063	2833616	1477
BB	70	14	6	2	DARP_Driver1	10	10.051	2745180	1680
BB	70	14	6	2	DARP_Driver2	10	10.067	978094	1477
BB	70	14	6	2	DARP_Driver1	30	30.028	766016	1680
BB	70	14	6	2	DARP_Driver2	30	30.025	766016	1477
BB	75	15	6	3	DARP_Driver1	5	5.008	2949421	1884
BB	75	15	6	3	DARP_Driver2	5	5.022	2946666	1667
BB	75	15	6	3	DARP_Driver1	10	10.097	2947370	1884
BB	75	15	6	3	DARP_Driver2	10	10.268	2946666	1667
BB	75	15	6	3	DARP_Driver1	30	30.145	2946666	1884
BB	75	15	6	3	DARP_Driver2	30	30.047	702026	1667
CC	5	1	1	1	DARP_Driver1	5	0.012	561202	32
CC	5	1	1	1	DARP_Driver2	5	0.01	561202	22
CC	5	1	1	1	DARP_Driver1	10	0.012	561202	32
CC	5	1	1	1	DARP_Driver2	10	0.009	561202	22
CC	5	1	1	1	DARP_Driver1	30	0.012	561202	32
CC	5	1	1	1	DARP_Driver2	30	0.009	561202	22
CC	10	2	1	1	DARP_Driver1	5	5.011	nfs	60
CC	10	2	1	1	DARP_Driver2	5	0.027	570631	44
CC	10	2	1	1	DARP_Driver1	10	10.001	nfs	60
CC	10	2	1	1	DARP_Driver2	10	0.025	570631	44
CC	10	2	1	1	DARP_Driver1	30	30.009	nfs	60
CC	10	2	1	1	DARP_Driver2	30	0.037	570631	44
CC	15	3	2	1	DARP_Driver1	5	0.343	561202	144
CC	15	3	2	1	DARP_Driver2	5	0.396	561202	105
CC	15	3	2	1	DARP_Driver1	10	0.33	561202	144
CC	15	3	2	1	DARP_Driver2	10	0.383	561202	105
CC	15	3	2	1	DARP_Driver1	30	0.343	561202	144
CC	15	3	2	1	DARP_Driver2	30	0.378	561202	105
CC	20	4	2	1	DARP_Driver1	5	5.019	604476	188
CC	20	4	2	1	DARP_Driver2	5	5.016	604476	146
CC	20	4	2	1	DARP_Driver1	10	10.023	604476	188
CC	20	4	2	1	DARP_Driver2	10	10.018	604476	146
CC	20	4	2	1	DARP_Driver1	30	30.012	604476	188
CC	20	4	2	1	DARP_Driver2	30	30.014	604476	146
CC	25	5	2	1	DARP_Driver1	5	3.305	623695	232
CC	25	5	2	1	DARP_Driver2	5	5.009	623695	181
CC	25	5	2	1	DARP_Driver1	10	3.591	623695	232
CC	25	5	2	1	DARP_Driver2	10	10.02	623695	181
CC	25	5	2	1	DARP_Driver1	30	3.536	623695	232
CC	25	5	2	1	DARP_Driver2	30	30.013	623695	181
CC	30	6	3	2	DARP_Driver1	5	5.005	604476	402
CC	30	6	3	2	DARP_Driver2	5	5.03	604476	342
CC	30	6	3	2	DARP_Driver1	10	10.004	604476	402
CC	30	6	3	2	DARP_Driver2	10	10.008	604476	342
CC	30	6	3	2	DARP_Driver1	30	30.006	604476	402
CC	30	6	3	2	DARP_Driver2	30	30.028	604476	342
CC	35	7	3	2	DARP_Driver1	5	5.037	613280	465
CC	35	7	3	2	DARP_Driver2	5	5.007	613280	393
CC	35	7	3	2	DARP_Driver1	10	10.023	613280	465
CC	35	7	3	2	DARP_Driver2	10	10.022	613280	393
CC	35	7	3	2	DARP_Driver1	30	30.004	613280	465
CC	35	7	3	2	DARP_Driver2	30	30.028	613280	393
CC	40	8	3	2	DARP_Driver1	5	5.013	617423	528
CC	40	8	3	2	DARP_Driver2	5	5.022	617423	452
CC	40	8	3	2	DARP_Driver1	10	10.025	617423	528
CC	40	8	3	2	DARP_Driver2	10	10.032	617423	452
CC	40	8	3	2	DARP_Driver1	30	30.026	617423	528
CC	40	8	3	2	DARP_Driver2	30	30.044	617423	452
CC	45	9	3	2	DARP_Driver1	5	5.039	632546	591
CC	45	9	3	2	DARP_Driver2	5	5.031	630321	511
CC	45	9	3	2	DARP_Driver1	10	10.03	630321	591
CC	45	9	3	2	DARP_Driver2	10	10.042	626359	511
CC	45	9	3	2	DARP_Driver1	30	30.014	626359	591
CC	45	9	3	2	DARP_Driver2	30	30.004	626359	511
CC	50	10	4	2	DARP_Driver1	5	5.018	1918063	840
CC	50	10	4	2	DARP_Driver2	5	5.027	1228597	730
CC	50	10	4	2	DARP_Driver1	10	10.014	1918063	840
CC	50	10	4	2	DARP_Driver2	10	10.044	617423	730
CC	50	10	4	2	DARP_Driver1	30	30.013	610788	840
CC	50	10	4	2	DARP_Driver2	30	30.023	610788	730
CC	55	11	4	2	DARP_Driver1	5	5.032	2014534	920
CC	55	11	4	2	DARP_Driver2	5	5.009	1117743	805
CC	55	11	4	2	DARP_Driver1	10	10.002	1528981	920
CC	55	11	4	2	DARP_Driver2	10	10.046	617423	805
CC	55	11	4	2	DARP_Driver1	30	30.193	617423	920
CC	55	11	4	2	DARP_Driver2	30	30.028	610788	805
CC	60	12	4	2	DARP_Driver1	5	5.046	829403	1000
CC	60	12	4	2	DARP_Driver2	5	5.082	654562	875
CC	60	12	4	2	DARP_Driver1	10	10.034	656719	1000
CC	60	12	4	2	DARP_Driver2	10	10.021	627924	875
CC	60	12	4	2	DARP_Driver1	30	30.021	617423	1000
CC	60	12	4	2	DARP_Driver2	30	30.035	617423	875
CC	65	13	4	2	DARP_Driver1	5	5.172	2286462	1080
CC	65	13	4	2	DARP_Driver2	5	5.065	896200	950
CC	65	13	4	2	DARP_Driver1	10	10.086	662701	1080
CC	65	13	4	2	DARP_Driver2	10	10.002	658404	950
CC	65	13	4	2	DARP_Driver1	30	30.076	649643	1080
CC	65	13	4	2	DARP_Driver2	30	30.061	651670	950
CC	70	14	5	2	DARP_Driver1	5	5.01	2346025	1418
CC	70	14	5	2	DARP_Driver2	5	5.063	1481365	1250
CC	70	14	5	2	DARP_Driver1	10	10.023	820736	1418
CC	70	14	5	2	DARP_Driver2	10	10.006	634714	1250
CC	70	14	5	2	DARP_Driver1	30	30.078	617423	1418
CC	70	14	5	2	DARP_Driver2	30	30.039	617423	1250
CC	75	15	5	3	DARP_Driver1	5	5.049	2466874	1590
CC	75	15	5	3	DARP_Driver2	5	5.099	1842799	1404
CC	75	15	5	3	DARP_Driver1	10	10.061	1406868	1590
CC	75	15	5	3	DARP_Driver2	10	10.067	670690	1404
CC	75	15	5	3	DARP_Driver1	30	30.019	646587	1590
CC	75	15	5	3	DARP_Driver2	30	30.047	625699	1404
DD	5	1	1	1	DARP_Driver1	5	0.015	624036	32
